Row	Col.	Row Pin	Col. Bus	R6	Normal Code	Shift Code	Key
0	7	P2.0	DB7	0x39	0x00	0x00	CTRL (modifier)
0	6	P2.0	DB6	0x38	0x00	0x00	(no code: NumLk/PB?)
0	5	P2.0	DB5	0x37	0x00	0x00	CAPS LOCK (modifier)
0	4	P2.0	DB4	0x36	0x00	0x00	(no code: NumLk/PB?)
0	3	P2.0	DB3	0x35	0x23	0x2B	F12
0	2	P2.0	DB2	0x34	0x20	0x2A	F11
0	1	P2.0	DB1	0x33	0x1D	0x29	F10
0	0	P2.0	DB0	0x32	0x1C	0x28	F9
1	7	P2.1	DB7	0x4F	0x1B	0x3F	F8
1	6	P2.1	DB6	0x4A	0x1A	0x3B	F7
1	5	P2.1	DB5	0x45	0x19	0x37	F6
1	4	P2.1	DB4	0x40	0x18	0x33	F5
1	3	P2.1	DB3	0x3B	0x17	0x2F	F4
1	2	P2.1	DB2	0x36	0x16	0x2B	F3
1	1	P2.1	DB1	0x31	0x15	0x27	F2
1	0	P2.1	DB0	0x30	0x14	0x26	F1
2	7	P2.2	DB7	0x2F	0x03	0x8B	kp7/CLRS
2	6	P2.2	DB6	0x2E	0x04	0x8D	kp9/HOME
2	5	P2.2	DB5	0x2D	0x1F	0x99	kp-/LIST
2	4	P2.2	DB4	0x2C	0x06	0x83	kp+/RUN
2	3	P2.2	DB3	0x2B	0x01	0x85	kp1/CLRL
2	2	P2.2	DB2	0x2A	0x02	0x87	kp3/CPES
2	1	P2.2	DB1	0x29	0x00	0x84	kp0/INSC
2	0	P2.2	DB0	0x28	0x05	0xA4	kp./DELC
3	7	P2.3	DB7	0x3F	0x6B	0x8C	kp8(up)
3	6	P2.3	DB6	0x3B	0x58	0x88	Bksp/kp4(<-)
3	5	P2.3	DB5	0x37	0x89	0x89	5/kp5
3	4	P2.3	DB4	0x33	0x5F	0x8A	kp6(->)
3	3	P2.3	DB3	0x2F	0x62	0x86	kp2(dn)
3	2	P2.3	DB2	0x2B	0x53	0x53	BREAK
3	1	P2.3	DB1	0x27	0x5D	0x5D	HALT
3	0	P2.3	DB0	0x26	0x7D	0x7D	Return
4	7	P2.4	DB7	0x25	0x58	0x58	Bksp/kp4(<-)
4	6	P2.4	DB6	0x24	0xFF	0xFF	DEL
4	5	P2.4	DB5	0x23	0xA7	0x83	=
4	4	P2.4	DB4	0x22	0xC3	0xFD	]
4	3	P2.4	DB3	0x21	0xD2	0xFE	`
4	2	P2.4	DB2	0x20	0x99	0xDF	-/kp-
4	1	P2.4	DB1	0x1F	0xC1	0xFB	[
4	0	P2.4	DB0	0x1E	0x75	0x70	'
5	7	P2.5	DB7	0x2F	0xAF	0xBF	/
5	6	P2.5	DB6	0x2C	0x8F	0x8E	;
5	5	P2.5	DB5	0x29	0xA4	0xB3	./kpDEL
5	4	P2.5	DB4	0x26	0x8E	0x9B	","
5	3	P2.5	DB3	0x23	0x6E	0x6E	Space
5	2	P2.5	DB2	0x20	0xC2	0xFC	\
5	1	P2.5	DB1	0x1D	0x59	0x59	TAB
5	0	P2.5	DB0	0x1C	0x77	0x77	ESC
6	7	P2.6	DB7	0x1B	0x0A	0x0A	(empty)
6	6	P2.6	DB6	0x1A	0xF1	0xB7	q
6	5	P2.6	DB5	0x19	0xD3	0x9D	a
6	4	P2.6	DB4	0x18	0xFA	0xC0	z
6	3	P2.6	DB3	0x17	0xF7	0xBD	w
6	2	P2.6	DB2	0x16	0xF3	0xB9	s
6	1	P2.6	DB1	0x15	0xF8	0xBE	x
6	0	P2.6	DB0	0x14	0xD7	0xA1	e
7	7	P2.7	DB7	0x1F	0x0A	0x0A	(empty)
7	6	P2.7	DB6	0x1D	0xD6	0xA0	d
7	5	P2.7	DB5	0x1B	0xD5	0x9F	c
7	4	P2.7	DB4	0x19	0xF2	0xB8	r
7	3	P2.7	DB3	0x17	0xD8	0xA2	f
7	2	P2.7	DB2	0x15	0xF6	0xBC	v
7	1	P2.7	DB1	0x13	0xF4	0xBA	t
7	0	P2.7	DB0	0x12	0xD9	0xA3	g
8	7	P1.0	DB7	0x11	0x0A	0x0A	(empty)
8	6	P1.0	DB6	0x10	0xD4	0x9E	b
8	5	P1.0	DB5	0x0F	0xF9	0xBF	y
8	4	P1.0	DB4	0x0E	0xDA	0xA4	h
8	3	P1.0	DB3	0x0D	0xE0	0xC2	n
8	2	P1.0	DB2	0x0C	0xF5	0xBB	u
8	1	P1.0	DB1	0x0B	0xDC	0xA6	j
8	0	P1.0	DB0	0x0A	0xDF	0xB5	m
9	7	P1.1	DB7	0x0F	0x0A	0x0A	(empty)
9	6	P1.1	DB6	0x0E	0xDB	0xA5	i
9	5	P1.1	DB5	0x0D	0xDD	0xA7	k
9	4	P1.1	DB4	0x0C	0xEF	0xCF	o
9	3	P1.1	DB3	0x0B	0xDE	0xA8	l
9	2	P1.1	DB2	0x0A	0xF0	0xB6	p
9	1	P1.1	DB1	0x09	0x84	0x77	0
9	0	P1.1	DB0	0x08	0x8D	0x76	9
10	7	P1.2	DB7	0x07	0x8C	0x78	8
10	6	P1.2	DB6	0x06	0x8B	0x74	7
10	5	P1.2	DB5	0x05	0x8A	0xD1	6
10	4	P1.2	DB4	0x04	0x89	0x73	5/kp5
10	3	P1.2	DB3	0x03	0x88	0x72	4
10	2	P1.2	DB2	0x02	0x87	0x71	3
10	1	P1.2	DB1	0x01	0x86	0x9C	2
10	0	P1.2	DB0	0x00	0x85	0x6F	1
